,result,rationale,tweet_id,full_text,eval_time
0,2,"the individual is excited to find a mask that matches their personality, indicating they are pro-mask",1287456082777047045,"Finally a mask that fits my true personality!!!  #Darth Vader #Nerd @ Miami Heights, Ohio https://t.co/d3UNkKPvgo",74.11631894111633
1,2,the user is frustrated with those opposing mask-wearing measures and emphasizes the importance of following expert advice on COVID-19 precautions,1288054474683146240,"People screaming that we need to reopen schools so kids can get their education are the same fucking idiots not listening to the most educated people in the world who are telling us we should wear masks, stay home, and social distance properly. Like what’s the fucking point?",2.228563070297241
2,2,"the user includes the hashtag #facemasks, indicating a pro-mask attitude",1288069171998265345,Rosie the Riveter going strong at 94🇺🇸 https://t.co/rnNyFlmLwV  #rosietheriveter #ourvetcourtjudge #tuesdayvibes #facemasks #TeamJudgeCooper,1.8951082229614258
3,2,"the user implies that 'anti-mask ppl' will eventually get vaccinated, showing a pro-mask and pro-vaccination stance",1288251780741115909,So what happens when the vaccine comes? The anti-vaccine ppl didn’t disappear. Yet. The anti-mask ppl are going to jump on board too. Is this the thinning of the herd?,2.1354715824127197
4,2,"the user is pro-mask, implying that anti-mask individuals are inconsiderate and careless, comparing them to people who engage in other annoying behaviors.",1288285779408584704,"@Walsh_PT I was just saying to my wife that the anti-mask and anti-social distancing people have always existed.  They've been hiding in plain sight as people who don't turn on their headlights when it rains, people who pay by check at the grocery and people who recline airplane seats.",2.5267086029052734
5,2,"The tweet implies that some individuals, likely those who are sick or infectious, should always wear masks in public, showing a pro-mask attitude.",1288979662908137473,@CraigCaplan If there’s any human being alive who should be required to wear a mask in public at all times...,2.312120199203491
6,2,"the user expresses frustration towards 'anti-maskers' and concern for students having to follow health rules, indicating a pro-mask attitude",1289188471676919808,"See the comments... But some won't be that strict
AND ANOTHER THING... The anti maskers, push to open early, protect my freedom not my health people do realize their kids HAVE to follow the rules, no exceptions????
That part has been keeping me up at night as an educator https://t.co/OGnnAm9m2F",2.393842935562134
7,2,"The user expresses frustration with 'anti-maskers' and prioritizes health over freedom, indicating a pro-mask attitude.",1289188711993733132,"@nytimes some won't be that strict
AND ANOTHER THING that keeps me up at night... The anti maskers, push to open early, protect my freedom not my health people do realize their kids HAVE to follow the rules, no exceptions????",2.2129063606262207
8,1,"The individual expresses strong dislike for a specific type of face mask, using profanity to emphasize their negative opinion.",1289378483290771457,I saw my first mesh face mask in person today and it was every bit as fucking stupid in person as it looked online... if not more in person,2.0870890617370605
9,2,"the user is encouraging people to wear masks with makeup or lipstick, implying that mask-wearing is a normal and positive part of life.",1289913883163942913,"What's under your mask?? Don't keep your lipstick game on the bench!

https://t.co/VokcWCGSGz https://t.co/FDEkollfWB",2.314908742904663
10,1,"The user expresses frustration and sarcasm towards individuals who wear face masks in an outdoor setting with plenty of space, implying that it's unnecessary or excessive.",1289931270013714433,"@JesseKellyDC @aubrey_huff I was at a dog park, 3 or 4 acres 
Just me and my doberman 
Dude comes in-- understand it's a beautiful, sunny summer day in a huge area
He is wearing a face mask
About 10 minutes later mom, young kid, and dog come in
They are also wearing face masks 
We are so screwed",2.626305103302002
11,2,"the individual expresses a sense of discomfort and surprise at the lack of mask-wearing, implying they believe it is important",1290083645521186817,"Quick tidbit for Greater Cincinnatians...did curbside takeout from Italian restaurant at Kenwood Mall tonight. mall parking lot packed. Very few masks on folks exiting mall or on sidewalk loitering. 

Jarring.",2.2175841331481934
12,2,"the user expresses astonishment at those who do not wear masks in stores, implying they strongly support mask-wearing",1290258745096839168,The bravery of people to walk into a store where there are very visible signs stating that masks are mandatory &amp; for them to STILL not have a mask on entering the store is quite astounding really,2.096696615219116
